case,gold,pred0,gold_component,gold_reason,pred_component,pred_reason,component_match,reason_match,owner,failure_type,steps,completed_step,focus_components,focus_gold_steps,focus_pred_steps,gold_metric_count,pred_metric_count,gold_top1_steps,gold_in_rank_steps,pred_top1_steps,final_top,first_gold_metric,first_pred_metric,note
case_000046,emailservice_latency,emailservice_mem,emailservice,latency,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,53,33,"1,3","1,2,3","4,5,6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s1 [metrics] id=M0001 window=0-30 component=emailservice signal=latency.p50 value=0.00367889 unit=s dev=+4.1 n=30,s4 [metrics] id=M1298 window=540-570 component=emailservice signal=mem value=43932330.7 unit=bytes dev=+1.8 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000047,emailservice_latency,emailservice_mem,emailservice,latency,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,46,28,"2,3,5","2,3,5","6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s2 [metrics] id=M0445 window=180-210 component=emailservice signal=latency.p50 value=0.00312353 unit=s dev=+2.6 n=30,s2 [metrics] id=M0742 window=300-330 component=emailservice signal=mem value=43765760 unit=bytes dev=+1.8 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000048,emailservice_latency,emailservice_mem,emailservice,latency,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,39,29,,2,"5,6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s2 [metrics] id=M0667 window=270-300 component=emailservice signal=latency.p90 value=0.00477089 unit=s dev=+2.1 n=30,s3 [metrics] id=M1187 window=480-510 component=emailservice signal=mem value=43231778.1 unit=bytes dev=+1.1 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000052,emailservice_socket,emailservice_mem,emailservice,socket,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,17,31,,,"5,6,7,8,9,10",emailservice_mem|currencyservice_latency|checkoutservice_latency,s7 [metrics] id=M2729 window=1110-1140 component=emailservice signal=socket value=9 unit=count dev=+6.0 n=30,s1 [metrics] id=M0074 window=30-60 component=emailservice signal=mem value=43154227.2 unit=bytes dev=-2.1 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000053,emailservice_socket,emailservice_mem,emailservice,socket,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,17,34,,,"7,8,9,10",emailservice_mem|checkoutservice_latency|cartservice_mem,s7 [metrics] id=M2740 window=1110-1140 component=emailservice signal=socket value=9 unit=count dev=+6.0 n=30,s1 [metrics] id=M0076 window=30-60 component=emailservice signal=mem value=43528055.5 unit=bytes dev=-1.6 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000054,emailservice_socket,emailservice_mem,emailservice,socket,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,21,33,,,"5,6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s6 [metrics] id=M2445 window=990-1020 component=emailservice signal=socket value=9 unit=count dev=+6.0 n=30,s1 [metrics] id=M0076 window=30-60 component=emailservice signal=mem value=43620761.6 unit=bytes dev=-1.7 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
case_000055,productcatalogservice_cpu,productcatalogservice_latency,productcatalogservice,cpu,productcatalogservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,productcatalogservice,9,9,6,32,,,"5,6,7,8,9,10",productcatalogservice_latency|recommendationservice_latency|currencyservice_latency,s9 [metrics] id=M2986 window=1260-1290 component=productcatalogservice signal=cpu value=19.76 unit=percent dev=+38.5 n=30,s1 [metrics] id=M0003 window=0-30 component=productcatalogservice signal=latency.p50 value=0.00202263 unit=s dev=+3.4 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was productcatalogservice_latency. Gold was absent from final ranking."
case_000056,productcatalogservice_cpu,productcatalogservice_latency,productcatalogservice,cpu,productcatalogservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,11,11,productcatalogservice|productcatalogservice|recommendationservice|checkoutservice,"9,10","9,10",7,47,,,"6,7,8,9,10,11",productcatalogservice_latency|recommendationservice_latency|checkoutservice_latency,s5 [metrics] id=M1683 window=720-750 component=productcatalogservice signal=cpu value=6.2255 unit=percent dev=+7.4 n=30,s1 [metrics] id=M0351 window=150-180 component=productcatalogservice signal=latency.p90 value=0.00446283 unit=s dev=+1.7 n=30,"Gold component was focused at step(s) [9, 10]; gold metric evidence was visible, but final top1 was productcatalogservice_latency. Gold was absent from final ranking."
case_000057,productcatalogservice_cpu,productcatalogservice_latency,productcatalogservice,cpu,productcatalogservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,productcatalogservice,9,9,6,41,,,"5,6,7,8,9,10",productcatalogservice_latency|recommendationservice_latency|checkoutservice_mem,s9 [metrics] id=M2945 window=1260-1290 component=productcatalogservice signal=cpu value=19.74 unit=percent dev=+49.8 n=30,s1 [metrics] id=M0003 window=0-30 component=productcatalogservice signal=latency.p50 value=0.00198594 unit=s dev=-1.3 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was productcatalogservice_latency. Gold was absent from final ranking."
case_000066,productcatalogservice_latency,recommendationservice_latency,productcatalogservice,latency,recommendationservice,latency,False,True,reasoner,focused_gold_but_wrong_interpretation,11,11,productcatalogservice|recommendationservice,9,10,41,61,"8,9","5,6,7,8,9,10,11","5,6,7,10,11",recommendationservice_latency|productcatalogservice_latency|checkoutservice_latency,s1 [metrics] id=M0001 window=0-30 component=productcatalogservice signal=latency.p50 value=0.00227674 unit=s dev=+2.2 n=30,s1 [metrics] id=M0077 window=30-60 component=recommendationservice signal=latency.p50 value=0.00752391 unit=s dev=-1.8 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was present only as final rank 2."
case_000067,productcatalogservice_mem,productcatalogservice_latency,productcatalogservice,mem,productcatalogservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,9,9,productcatalogservice,8,8,9,37,,,"5,6,7,8,9",productcatalogservice_latency|recommendationservice_latency|checkoutservice_latency,s1 [metrics] id=M0145 window=60-90 component=productcatalogservice signal=mem value=10753365.3 unit=bytes dev=+1.6 n=30,s2 [metrics] id=M0650 window=270-300 component=productcatalogservice signal=latency.p50 value=0.00219947 unit=s dev=-2.3 n=30,"Gold component was focused at step(s) [8]; gold metric evidence was visible, but final top1 was productcatalogservice_latency. Gold was absent from final ranking."
case_000068,productcatalogservice_mem,productcatalogservice_latency,productcatalogservice,mem,productcatalogservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,productcatalogservice,9,9,9,40,,,"5,6,7,8,9,10",productcatalogservice_latency|checkoutservice_latency|currencyservice_socket,s2 [metrics] id=M0561 window=240-270 component=productcatalogservice signal=mem value=11510579.2 unit=bytes dev=+2.0 n=30,s1 [metrics] id=M0072 window=30-60 component=productcatalogservice signal=latency.p90 value=0.00445256 unit=s dev=+2.7 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was productcatalogservice_latency. Gold was absent from final ranking."
case_000069,productcatalogservice_mem,recommendationservice_latency,productcatalogservice,mem,recommendationservice,latency,False,False,reasoner,focused_gold_but_wrong_interpretation,11,11,recommendationservice|recommendationservice|productcatalogservice,10,"9,10",2,75,,,"5,6,7,8,9,10,11",recommendationservice_latency|productcatalogservice_latency|currencyservice_latency,s2 [metrics] id=M0783 window=330-360 component=productcatalogservice signal=mem value=10983150.9 unit=bytes dev=+1.2 n=30,s2 [metrics] id=M0712 window=300-330 component=recommendationservice signal=latency.p50 value=0.00753686 unit=s dev=+2.0 n=30,"Gold component was focused at step(s) [10]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was absent from final ranking."
case_000070,productcatalogservice_socket,productcatalogservice_latency,productcatalogservice,socket,productcatalogservice,latency,True,False,controller,gold_metric_not_retrieved,10,10,productcatalogservice,9,9,0,38,,,"5,6,7,8,9,10",productcatalogservice_latency|recommendationservice_latency|checkoutservice_latency,,s3 [metrics] id=M1067 window=450-480 component=productcatalogservice signal=latency.p50 value=0.00171506 unit=s dev=-2.0 n=30,Gold reason metric for productcatalogservice_socket never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000071,productcatalogservice_socket,productcatalogservice_mem,productcatalogservice,socket,productcatalogservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,9,9,productcatalogservice,8,8,15,18,,,"7,8,9",productcatalogservice_mem|recommendationservice_latency|currencyservice_latency,s6 [metrics] id=M2338 window=990-1020 component=productcatalogservice signal=socket value=17 unit=count dev=+13.0 n=30,s3 [metrics] id=M0989 window=420-450 component=productcatalogservice signal=mem value=10105787.7 unit=bytes dev=+1.3 n=30,"Gold component was focused at step(s) [8]; gold metric evidence was visible, but final top1 was productcatalogservice_mem. Gold was absent from final ranking."
case_000072,productcatalogservice_socket,productcatalogservice_mem,productcatalogservice,socket,productcatalogservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,productcatalogservice,9,9,24,26,,"6,7,8,9,10","6,7,8,9,10",productcatalogservice_mem|productcatalogservice_socket|emailservice_mem,s6 [metrics] id=M2132 window=900-930 component=productcatalogservice signal=socket value=17 unit=count dev=+13.0 n=30,s5 [metrics] id=M1707 window=720-750 component=productcatalogservice signal=mem value=15034914.1 unit=bytes dev=+20.4 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was productcatalogservice_mem. Gold was present only as final rank 2."
case_000073,recommendationservice_cpu,recommendationservice_latency,recommendationservice,cpu,recommendationservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,30,63,,,"5,6,7,8,9,10",recommendationservice_latency|currencyservice_latency|emailservice_mem,s5 [metrics] id=M1731 window=720-750 component=recommendationservice signal=cpu value=4.9784 unit=percent dev=+10.8 n=30,s2 [metrics] id=M0433 window=180-210 component=recommendationservice signal=latency.p50 value=0.00744549 unit=s dev=+1.7 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was absent from final ranking."
case_000074,recommendationservice_cpu,recommendationservice_latency,recommendationservice,cpu,recommendationservice,latency,True,False,controller,gold_metric_not_retrieved,10,10,recommendationservice,9,9,0,63,,,"6,7,8,9,10",recommendationservice_latency|recommendationservice_mem|currencyservice_latency,,s1 [metrics] id=M0003 window=0-30 component=recommendationservice signal=latency.p50 value=0.00745549 unit=s dev=+2.0 n=30,Gold reason metric for recommendationservice_cpu never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000075,recommendationservice_cpu,recommendationservice_latency,recommendationservice,cpu,recommendationservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,1,64,,,"5,6,7,8,9,10",recommendationservice_latency,s5 [metrics] id=M1779 window=720-750 component=recommendationservice signal=cpu value=5.8261 unit=percent dev=+10.6 n=30,s1 [metrics] id=M0299 window=120-150 component=recommendationservice signal=latency.p50 value=0.00733297 unit=s dev=-1.5 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was absent from final ranking."
case_000082,recommendationservice_latency,recommendationservice_mem,recommendationservice,latency,recommendationservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,37,32,,,"5,6,7,8,9,10",recommendationservice_mem|emailservice_mem|frontend_socket,s1 [metrics] id=M0001 window=0-30 component=recommendationservice signal=latency.p90 value=0.077038 unit=s dev=+4.5 n=30,s1 [metrics] id=M0146 window=60-90 component=recommendationservice signal=mem value=45235131.7 unit=bytes dev=-1.2 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_mem. Gold was absent from final ranking."
case_000085,recommendationservice_mem,recommendationservice_latency,recommendationservice,mem,recommendationservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,1,66,,,"5,6,7,8,9,10",recommendationservice_latency|emailservice_socket|checkoutservice_socket,s5 [metrics] id=M1680 window=720-750 component=recommendationservice signal=mem value=356323737.6 unit=bytes dev=+26.8 n=30,s2 [metrics] id=M0770 window=330-360 component=recommendationservice signal=latency.p90 value=0.0095484 unit=s dev=-1.0 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was absent from final ranking."
case_000086,recommendationservice_mem,recommendationservice_latency,recommendationservice,mem,recommendationservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,30,62,,"5,6,7,8,9,10","5,6,7,8,9,10",recommendationservice_latency|recommendationservice_mem|currencyservice_latency,s5 [metrics] id=M1777 window=720-750 component=recommendationservice signal=mem value=259982131.2 unit=bytes dev=+3714.1 n=30,s2 [metrics] id=M0446 window=180-210 component=recommendationservice signal=latency.p90 value=0.00967825 unit=s dev=+1.8 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was present only as final rank 2."
case_000087,recommendationservice_mem,recommendationservice_latency,recommendationservice,mem,recommendationservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,11,11,recommendationservice|recommendationservice|currencyservice|emailservice|productcatalogservice|checkoutservice,"9,10","9,10",37,73,,"5,6,7,8,9,10,11","5,6,7,8,9,10,11",recommendationservice_latency|recommendationservice_mem|recommendationservice_diskio,s1 [metrics] id=M0076 window=30-60 component=recommendationservice signal=mem value=46304051.2 unit=bytes dev=-1.3 n=30,s3 [metrics] id=M1186 window=480-510 component=recommendationservice signal=latency.p50 value=0.00732416 unit=s dev=-1.9 n=30,"Gold component was focused at step(s) [9, 10]; gold metric evidence was visible, but final top1 was recommendationservice_latency. Gold was present only as final rank 2."
case_000088,recommendationservice_socket,recommendationservice_latency,recommendationservice,socket,recommendationservice,latency,True,False,controller,gold_metric_not_retrieved,11,11,recommendationservice|recommendationservice|productcatalogservice,"9,10","9,10",0,75,,,"1,5,6,7,8,9,10,11",recommendationservice_latency|recommendationservice_mem|frontend_latency,,s1 [metrics] id=M0001 window=0-30 component=recommendationservice signal=latency.p50 value=0.00757778 unit=s dev=+2.8 n=30,Gold reason metric for recommendationservice_socket never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000089,recommendationservice_socket,recommendationservice_mem,recommendationservice,socket,recommendationservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,24,31,,,"6,7,8,9,10",recommendationservice_mem|currencyservice_latency|emailservice_mem,s6 [metrics] id=M2222 window=900-930 component=recommendationservice signal=socket value=10 unit=count dev=+6.0 n=30,s3 [metrics] id=M0890 window=360-390 component=recommendationservice signal=mem value=47266747.7 unit=bytes dev=-1.8 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_mem. Gold was absent from final ranking."
case_000090,recommendationservice_socket,recommendationservice_mem,recommendationservice,socket,recommendationservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,recommendationservice,9,9,26,31,,"6,7,8,9,10","6,7,8,9,10",recommendationservice_mem|recommendationservice_socket|recommendationservice_latency,s5 [metrics] id=M2075 window=840-870 component=recommendationservice signal=socket value=10 unit=count dev=+6.0 n=30,s4 [metrics] id=M1703 window=690-720 component=recommendationservice signal=mem value=47545685.3 unit=bytes dev=+1.9 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was recommendationservice_mem. Gold was present only as final rank 2."
